symbol,date,close
MMM,01/06,126.72
MMM,01/05,122.96
MMM,01/04,125.15
MMM,01/03,122.47
MMM,12/30,119.92
AXP,01/06,150.17
AXP,01/05,146.43
AXP,01/04,150.54
AXP,01/03,147.12
AXP,12/30,147.75
AMGN,01/06,275.2
AMGN,01/05,266.86
AMGN,01/04,264.39
AMGN,01/03,261.65
AMGN,12/30,262.64
AAPL,01/06,129.62
AAPL,01/05,125.02
AAPL,01/04,126.36
AAPL,01/03,125.07
AAPL,12/30,129.93
BA,01/06,213.0
BA,01/05,204.99
BA,01/04,203.64
BA,01/03,195.39
BA,12/30,190.49
CAT,01/06,248.86
CAT,01/05,240.28
CAT,01/04,241.36
CAT,01/03,238.88
CAT,12/30,239.56
CVX,01/06,176.56
CVX,01/05,175.24
CVX,01/04,172.14
CVX,01/03,173.99
CVX,12/30,179.49
CSCO,01/06,48.32
CSCO,01/05,46.88
CSCO,01/04,47.55
CSCO,01/03,47.94
CSCO,12/30,47.64
KO,01/06,63.4
KO,01/05,62.2
KO,01/04,62.92
KO,01/03,62.95
KO,12/30,63.61
DIS,01/06,93.92
DIS,01/05,91.92
DIS,01/04,91.98
DIS,01/03,88.97
DIS,12/30,86.88
DOW,01/06,55.02
DOW,01/05,52.91
DOW,01/04,52.33
DOW,01/03,51.04
DOW,12/30,50.39
GS,01/06,348.08
GS,01/05,343.76
GS,01/04,347.7
GS,01/03,346.22
GS,12/30,343.38
HD,01/06,317.53
HD,01/05,315.47
HD,01/04,319.73
HD,01/03,315.91
HD,12/30,315.86
HON,01/06,210.27
HON,01/05,204.47
HON,01/04,210.04
HON,01/03,214.3
HON,12/30,214.3
IBM,01/06,143.7
IBM,01/05,141.11
IBM,01/04,142.6
IBM,01/03,141.55
IBM,12/30,140.89
INTC,01/06,28.73
INTC,01/05,27.56
INTC,01/04,27.68
INTC,01/03,26.73
INTC,12/30,26.43
JNJ,01/06,180.25
JNJ,01/05,178.8
JNJ,01/04,180.13
JNJ,01/03,178.19
JNJ,12/30,176.65
JPM,01/06,137.94
JPM,01/05,135.35
JPM,01/04,136.38
JPM,01/03,135.12
JPM,12/30,134.1
MCD,01/06,269.47
MCD,01/05,262.16
MCD,01/04,264.39
MCD,01/03,264.33
MCD,12/30,263.53
MRK,01/06,114.84
MRK,01/05,113.64
MRK,01/04,112.08
MRK,01/03,111.14
MRK,12/30,110.95
MSFT,01/06,224.93
MSFT,01/05,222.31
MSFT,01/04,229.1
MSFT,01/03,239.58
MSFT,12/30,239.82
NKE,01/06,124.53
NKE,01/05,120.62
NKE,01/04,121.21
NKE,01/03,118.75
NKE,12/30,117.01
PG,01/06,153.92
PG,01/05,150.34
PG,01/04,152.23
PG,01/03,151.57
PG,12/30,151.56
CRM,01/06,140.51
CRM,01/05,136.34
CRM,01/04,139.59
CRM,01/03,134.78
CRM,12/30,132.59
TRV,01/06,193.87
TRV,01/05,187.55
TRV,01/04,187.23
TRV,01/03,187.12
TRV,12/30,187.49
UNH,01/06,490.0
UNH,01/05,489.96
UNH,01/04,504.5
UNH,01/03,518.64
UNH,12/30,530.18
VZ,01/06,42.19
VZ,01/05,41.7
VZ,01/04,41.13
VZ,01/03,40.12
VZ,12/30,39.4
V,01/06,217.75
V,01/05,211.11
V,01/04,212.61
V,01/03,207.39
V,12/30,207.76
WBA,01/06,36.61
WBA,01/05,35.19
WBA,01/04,37.49
WBA,01/03,37.19
WBA,12/30,37.36
WMT,01/06,146.78
WMT,01/05,143.27
WMT,01/04,143.76
WMT,01/03,143.6
WMT,12/30,141.79
