,symbol,date,close
0,MMM,2023-01-06,126.72
1,MMM,2023-01-05,122.96
2,MMM,2023-01-04,125.15
3,MMM,2023-01-03,122.47
4,MMM,2022-12-30,119.92
5,AXP,2023-01-06,150.17
6,AXP,2023-01-05,146.43
7,AXP,2023-01-04,150.54
8,AXP,2023-01-03,147.12
9,AXP,2022-12-30,147.75
10,AMGN,2023-01-06,275.2
11,AMGN,2023-01-05,266.86
12,AMGN,2023-01-04,264.39
13,AMGN,2023-01-03,261.65
14,AMGN,2022-12-30,262.64
15,AAPL,2023-01-06,129.62
16,AAPL,2023-01-05,125.02
17,AAPL,2023-01-04,126.36
18,AAPL,2023-01-03,125.07
19,AAPL,2022-12-30,129.93
20,BA,2023-01-06,213.0
21,BA,2023-01-05,204.99
22,BA,2023-01-04,203.64
23,BA,2023-01-03,195.39
24,BA,2022-12-30,190.49
25,CAT,2023-01-06,248.86
26,CAT,2023-01-05,240.28
27,CAT,2023-01-04,241.36
28,CAT,2023-01-03,238.88
29,CAT,2022-12-30,239.56
30,CVX,2023-01-06,176.56
31,CVX,2023-01-05,175.24
32,CVX,2023-01-04,172.14
33,CVX,2023-01-03,173.99
34,CVX,2022-12-30,179.49
35,CSCO,2023-01-06,48.32
36,CSCO,2023-01-05,46.88
37,CSCO,2023-01-04,47.55
38,CSCO,2023-01-03,47.94
39,CSCO,2022-12-30,47.64
40,KO,2023-01-06,63.4
41,KO,2023-01-05,62.2
42,KO,2023-01-04,62.92
43,KO,2023-01-03,62.95
44,KO,2022-12-30,63.61
45,DIS,2023-01-06,93.92
46,DIS,2023-01-05,91.92
47,DIS,2023-01-04,91.98
48,DIS,2023-01-03,88.97
49,DIS,2022-12-30,86.88
50,DOW,2023-01-06,55.02
51,DOW,2023-01-05,52.91
52,DOW,2023-01-04,52.33
53,DOW,2023-01-03,51.04
54,DOW,2022-12-30,50.39
55,GS,2023-01-06,348.08
56,GS,2023-01-05,343.76
57,GS,2023-01-04,347.7
58,GS,2023-01-03,346.22
59,GS,2022-12-30,343.38
60,HD,2023-01-06,317.53
61,HD,2023-01-05,315.47
62,HD,2023-01-04,319.73
63,HD,2023-01-03,315.91
64,HD,2022-12-30,315.86
65,HON,2023-01-06,210.27
66,HON,2023-01-05,204.47
67,HON,2023-01-04,210.04
68,HON,2023-01-03,214.3
69,HON,2022-12-30,214.3
70,IBM,2023-01-06,143.7
71,IBM,2023-01-05,141.11
72,IBM,2023-01-04,142.6
73,IBM,2023-01-03,141.55
74,IBM,2022-12-30,140.89
75,INTC,2023-01-06,28.73
76,INTC,2023-01-05,27.56
77,INTC,2023-01-04,27.68
78,INTC,2023-01-03,26.73
79,INTC,2022-12-30,26.43
80,JNJ,2023-01-06,180.25
81,JNJ,2023-01-05,178.8
82,JNJ,2023-01-04,180.13
83,JNJ,2023-01-03,178.19
84,JNJ,2022-12-30,176.65
85,JPM,2023-01-06,137.94
86,JPM,2023-01-05,135.35
87,JPM,2023-01-04,136.38
88,JPM,2023-01-03,135.12
89,JPM,2022-12-30,134.1
90,MCD,2023-01-06,269.47
91,MCD,2023-01-05,262.16
92,MCD,2023-01-04,264.39
93,MCD,2023-01-03,264.33
94,MCD,2022-12-30,263.53
95,MRK,2023-01-06,114.84
96,MRK,2023-01-05,113.64
97,MRK,2023-01-04,112.08
98,MRK,2023-01-03,111.14
99,MRK,2022-12-30,110.95
100,MSFT,2023-01-06,224.93
101,MSFT,2023-01-05,222.31
102,MSFT,2023-01-04,229.1
103,MSFT,2023-01-03,239.58
104,MSFT,2022-12-30,239.82
105,NKE,2023-01-06,124.53
106,NKE,2023-01-05,120.62
107,NKE,2023-01-04,121.21
108,NKE,2023-01-03,118.75
109,NKE,2022-12-30,117.01
110,PG,2023-01-06,153.92
111,PG,2023-01-05,150.34
112,PG,2023-01-04,152.23
113,PG,2023-01-03,151.57
114,PG,2022-12-30,151.56
115,CRM,2023-01-06,140.51
116,CRM,2023-01-05,136.34
117,CRM,2023-01-04,139.59
118,CRM,2023-01-03,134.78
119,CRM,2022-12-30,132.59
120,TRV,2023-01-06,193.87
121,TRV,2023-01-05,187.55
122,TRV,2023-01-04,187.23
123,TRV,2023-01-03,187.12
124,TRV,2022-12-30,187.49
125,UNH,2023-01-06,490.0
126,UNH,2023-01-05,489.96
127,UNH,2023-01-04,504.5
128,UNH,2023-01-03,518.64
129,UNH,2022-12-30,530.18
130,VZ,2023-01-06,42.19
131,VZ,2023-01-05,41.7
132,VZ,2023-01-04,41.13
133,VZ,2023-01-03,40.12
134,VZ,2022-12-30,39.4
135,V,2023-01-06,217.75
136,V,2023-01-05,211.11
137,V,2023-01-04,212.61
138,V,2023-01-03,207.39
139,V,2022-12-30,207.76
140,WBA,2023-01-06,36.61
141,WBA,2023-01-05,35.19
142,WBA,2023-01-04,37.49
143,WBA,2023-01-03,37.19
144,WBA,2022-12-30,37.36
145,WMT,2023-01-06,146.78
146,WMT,2023-01-05,143.27
147,WMT,2023-01-04,143.76
148,WMT,2023-01-03,143.6
149,WMT,2022-12-30,141.79
